2015-01-01,515
2015-01-02,575
2015-01-03,71
2015-01-04,985
2015-01-05,81
2015-01-06,86
2015-01-07,35
2015-01-08,27
2015-01-09,255
2015-01-10,29
2015-01-11,65
2015-01-12,60
2015-01-13,54
2015-01-14,505
2015-01-15,375
2015-01-16,37
2015-01-17,425
2015-01-18,33
2015-01-19,525
2015-01-20,345
2015-01-21,27
2015-01-22,26
2015-01-23,20
2015-01-24,4
2015-01-25,56
2015-01-26,66
2015-01-27,66
2015-01-28,94
2015-01-29,52
2015-01-30,74
2015-01-31,62
2015-02-01,42
2015-02-02,22
2015-02-03,66
2015-02-04,12
2015-02-05,88
2015-02-06,50
2015-02-07,54
2015-02-08,22
2015-02-09,84
2015-02-10,16
2015-02-11,92
2015-02-12,80
2015-02-13,70
2015-02-14,30
2015-02-15,40
2015-02-16,10
2015-02-17,0
2015-02-18,60
2015-02-19,90
2015-02-20,90
2015-02-21,60
2015-02-22,60
2015-02-23,10
2015-02-24,60
2015-02-25,0
2015-02-26,50
2015-02-27,10
2015-02-28,0
2015-03-01,70
2015-03-02,10
2015-03-03,50
2015-03-04,30
2015-03-05,40
2015-03-06,0
2015-03-07,20
2015-03-08,80
2015-03-09,40
2015-03-10,60
2015-03-11,60
2015-03-12,0
2015-03-13,40
2015-03-14,20
2015-03-15,60
2015-03-16,60
2015-03-17,20
2015-03-18,80
2015-03-19,0
2015-03-20,0
2015-03-21,40
2015-03-22,80
2015-03-23,20
2015-03-24,80
2015-03-25,0
2015-03-26,80
2015-03-27,20
2015-03-28,0
2015-03-29,55
2015-03-30,50
2015-03-31,45
2015-04-01,60
2015-04-02,90
2015-04-03,45
2015-04-04,40
2015-04-05,65
2015-04-06,20
2015-04-07,30
2015-04-08,95
2015-04-09,85
2015-04-10,45
2015-04-11,45
2015-04-12,0
2015-04-13,15
2015-04-14,70
2015-04-15,5
2015-04-16,20
2015-04-17,50
2015-04-18,75
2015-04-19,50
2015-04-20,15
2015-04-21,40
2015-04-22,65
2015-04-23,90
2015-04-24,65
2015-04-25,40
2015-04-26,45
2015-04-27,85
2015-04-28,35
2015-04-29,45
2015-04-30,60
2015-05-01,25
2015-05-02,95
2015-05-03,85
2015-05-04,70
2015-05-05,95
2015-05-06,20
2015-05-07,5
2015-05-08,95
2015-05-09,80
